1;12:30;06.10.2022;Maria;Xrystya;0.002
2;13:30;06.10.2022;Sviatoslav;Yuriy;0.120
3;15:23;06.10.2022;Zosia;Olena;0.345
4;15:50;06.10.2022;Stanislav;Valeriy;1.
5;17:56;06.10.2022;Maksym;Olha;0.45
6;18:30;06.10.2022;Bohdan;Sofia;0.0001
7;18:55;06.10.2022;Olha;Petro;0.23
8;19:12;06.10.2022;Yana;Halyna;0.303
9;19:34;06.10.2022;Andrii;Iryna;0.56
10;0:45;07.10.2022;Vita;Maria;0.389
11;1:05;07.10.2022;Ivan-Dominik;Sviatoslav;0.605
12;8:06;07.10.2022;Sofia;Zosia;0.307
13;9:26;07.10.2022;Petro;Stanislav;0.0004
14;10:11;07.10.2022;Lyudmyla;Maksym;0.006
15;11:56;07.10.2022;Iryna;Bohdan;0.103
16;11:59;07.10.2022;Xrystya;Orest;0.6
17;13:23;07.10.2022;Ihor;Olha;0.007
18;0:01;08.10.2022;Olena;Yana;0.15
19;4:12;08.10.2022;Halyna;Andrii;0.107
20;9:00;08.10.2022;Ivan-Dominik;Vita;0.8
21;10:23;08.10.2022;Sofia;Anna;0.567
22;12:34;08.10.2022;Orest;Sofia;0.1
23;15:04;08.10.2022;Lyudmyla;Petro;0.406
24;15:17;08.10.2022;Iryna;Lyudmyla;0.112
25;0:57;09.10.2022;Xrystya;Maria;0.034
26;1:45;09.10.2022;Yuriy;Sviatoslav;0.12
27;6:02;09.10.2022;Olena;Zosia;0.005
28;10:56;09.10.2022;Valeriy;Stanislav;0.008
29;12:09;09.10.2022;Petro;Maksym;10.
30;15:11;09.10.2022;Yana;Valeriy;0.45
31;12:30;10.10.2022;Maria;Ivan-Dominik;0.0001
32;13:30;10.10.2022;Sviatoslav;Maksym;0.23
33;15:23;10.10.2022;Zosia;Bohdan;0.303
34;15:50;10.10.2022;Stanislav;Bohdan;0.56
35;17:56;10.10.2022;Maksym;Olha;0.389
36;18:30;10.10.2022;Bohdan;Yana;0.605
37;18:55;10.10.2022;Olha;Andrii;0.307
38;19:12;10.10.2022;Yana;Anna;0.0004
39;19:34;10.10.2022;Andrii;Ivan-Dominik;0.006
40;0:45;10.10.2022;Anna;Sofia;0.103
41;1:05;10.10.2022;Ivan-Dominik;Petro;0.6
42;8:06;11.10.2022;Petro;Lyudmyla;0.007
43;9:26;11.10.2022;Orest;Maria;0.15
44;10:11;11.10.2022;Iryna;Olena;0.406
45;11:56;11.10.2022;Xrystya;Vita;0.112
46;11:59;11.10.2022;Yuriy;Ihor;0.034
47;13:23;11.10.2022;Olena;Ihor;0.12
48;0:01;12.10.2022;Vita;Petro;0.005
49;4:12;12.10.2022;Anna;Natalya;0.008
50;9:00;12.10.2022;Maria;Maksym;12.
